Data,Prodotto,Vendite,Prezzo
2024-04-12,Pane,98,8.78107248570403
2024-12-14,Pane,42,5.919833981690096
2024-09-27,Biscotti,58,4.423604940733687
2024-04-16,Pizza,44,9.791202956595933
2024-03-12,Pizza,53,1.9964853399368412
2024-07-07,Acqua,99,4.802935854807501
2024-01-21,Pizza,20,1.3782220765426476
2024-04-12,Latte,81,7.659137086902373
2024-05-01,Pizza,87,9.262688969792356
2024-08-02,Acqua,83,3.5203359659544047
2024-11-26,Pizza,75,8.725075091192089
2024-03-28,Latte,55,3.62996407415708
2024-04-09,Biscotti,18,9.196931454795237
2024-12-25,Acqua,12,7.785657132371055
2024-05-31,Biscotti,94,8.244160991572947
2024-05-10,Biscotti,35,1.1620590004040905
2024-05-29,Biscotti,81,9.665293213666233
2024-11-04,Pane,57,7.540038928632909
2024-09-14,Pane,75,3.7427598584751998
2024-12-09,Biscotti,79,8.464551983729622
2024-10-20,Acqua,37,3.5336907857343696
2024-07-10,Latte,35,8.85478455609515
2024-10-03,Latte,34,2.013223513707433
2024-06-09,Pizza,21,7.333173797147162
2024-11-09,Acqua,14,5.866286289804193
2024-01-22,Pane,57,1.8688102317589674
2024-09-09,Biscotti,46,3.177044454329551
2024-08-23,Pizza,88,1.111636326495833
2024-12-10,Latte,53,5.218911689180553
2024-02-18,Pane,24,3.711387346840003
2024-02-28,Pane,52,6.38521735867983
2024-06-18,Biscotti,57,3.675140269377555
2024-07-06,Latte,96,3.699272003562862
2024-09-27,Acqua,79,7.6887387885844305
2024-07-08,Pane,55,1.4332855238051811
2024-06-23,Biscotti,52,9.126054956727884
2024-02-20,Acqua,30,8.670374869520632
2024-12-29,Latte,32,7.0102421490376585
2024-02-24,Pane,89,6.338994130966459
2024-08-31,Acqua,56,9.03072248325687
2024-11-15,Acqua,24,2.66797161575843
2024-05-10,Acqua,34,1.7107224597174575
2024-11-02,Pane,45,3.155591529185843
2024-05-14,Pane,84,8.151204508301714
2024-01-21,Pizza,60,1.31203240053835
2024-11-24,Latte,24,6.245261515751407
2024-06-15,Biscotti,77,9.95893764572179
2024-09-30,Acqua,30,8.701264844537855
2024-03-29,Pizza,22,5.693011201392305
2024-11-11,Biscotti,95,1.572768183579781
2024-01-14,Pizza,28,8.482361629471388
2024-08-29,Pane,43,6.390806573594895
2024-09-21,Acqua,87,2.0343969735361016
2024-12-11,Biscotti,77,1.844715563410206
2024-02-22,Biscotti,61,9.186641374929332
2024-12-05,Biscotti,36,7.022802366442706
2024-04-01,Biscotti,38,8.4635811938508
2024-09-20,Biscotti,37,8.910810102540406
2024-02-04,Pizza,44,6.1459511684349
2024-07-24,Acqua,17,5.657017165795372
2024-03-21,Pane,25,4.873846692888912
2024-02-19,Pane,45,3.8525192901200738
2024-12-25,Pane,39,4.911363647728406
2024-01-02,Pane,27,7.964916901571407
2024-02-23,Pizza,11,6.417310879136184
2024-04-15,Latte,58,9.032709609593615
2024-09-16,Acqua,86,4.99042012941269
2024-11-05,Biscotti,13,6.463806208468786
2024-07-09,Latte,99,6.681767977827898
2024-08-05,Pane,98,6.32527446075693
2024-02-13,Latte,84,7.323703957769647
2024-06-10,Acqua,16,3.1369012153732565
2024-07-20,Biscotti,83,5.611273997912116
2024-09-26,Biscotti,48,1.938023225275129
2024-12-16,Acqua,22,4.460601948803313
2024-10-30,Acqua,40,5.38900361759138
2024-09-27,Pane,80,6.870018335909252
2024-08-02,Biscotti,72,9.55477947327583
2024-09-08,Latte,65,6.405859598935203
2024-07-08,Pizza,51,7.692345245589038
2024-10-22,Pizza,70,5.556394535456825
2024-07-31,Acqua,51,6.706936282386982
2024-07-26,Pane,65,1.638389945203961
2024-08-24,Pizza,45,3.289524227576623
2024-12-03,Biscotti,93,4.256677838846248
2024-02-22,Acqua,77,5.252440195058622
2024-10-06,Latte,16,1.4108387095214536
